INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000001', '010-2082-1758', '오형수', 30, '남', '서울시', '001', '과장', '8469', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000002', '010-4776-0127', '제갈성옥', 22, '남', '서울시', '001', '사원', '3412', '2020-03-03', '2021-03-03');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000003', '010-2045-2314', '고성훈', 20, '남', '서울시', '002', '사원', '3074', '2020-03-03', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000004', '010-5424-8467', '고은옥', 31, '여', '강원도', '003', '사원', '3719', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000005', '010-8861-3236', '정희아', 38, '여', '강원도', '004', '부장', '5848', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000006', '010-4555-1632', '황주희', 36, '남', '경기도', '001', '차장', '4909', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000007', '010-5303-1108', '복만호', 32, '남', '서울시', '001', '차장', '4867', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000008', '010-8355-5100', '신혜훈', 32, '남', '경기도', '002', '대리', '3653', '2020-03-03', '2021-03-03');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000009', '010-1861-4130', '예범준', 35, '여', '경기도', '003', '대리', '4113', '2022-01-01', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000010', '010-6715-6538', '최선미', 26, '여', '경상북도', '004', '사원', '3623', '2020-03-03', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000011', '010-0874-4266', '예효주', 26, '남', '서울시', '001', '사원', '3230', '2020-03-03', 'null');
INSERT INTO EMPLOYEES (Emp_ID, Phone, Name, Age, Sex, Address, Dept, Position, Salary, DATE_of_entry, resignation_date) VALUES ('00000012', '010-8620-5603', '홍상수', 28, '남', '서울시', '001', '대리', '3826', '2020-03-03', 'null');
